BendersMethod=cutpl	timeLimit=3600
1	79.0188159942627	0.13471983133447446	0.06085014343261719	None	None	None	27.808055639266968	None	456	None	None	None	None	cutpl	3108	456
2	115.44949221611023	0.13471983133447446	0.061846256256103516	None	None	None	57.66884136199951	None	456	None	None	None	None	cutpl	3564	912
3	151.27673625946045	0.13471983133447446	0.06283950805664062	None	None	None	86.78471088409424	None	456	None	None	None	None	cutpl	4020	1368
4	227.9967029094696	0.13471983133447446	0.06387472152709961	None	None	None	148.90342164039612	None	456	None	None	None	None	cutpl	4020	1824
5	639.7063391208649	0.13686449430231465	0.08282876014709473	None	None	None	502.26660418510437	None	456	None	None	None	None	cutpl	4020	3565
6	909.936014175415	0.13752706655979838	0.09479427337646484	None	None	None	715.7643938064575	None	456	None	None	None	None	cutpl	4020	5239
7	1240.9487755298615	0.13891627164379425	0.1157386302947998	None	None	None	995.3663730621338	None	456	None	None	None	None	cutpl	4020	6623
8	1352.9290940761566	0.13940532406069078	0.1277461051940918	None	None	None	1084.3492629528046	None	456	None	None	None	None	cutpl	4020	7223
9	1937.3050215244293	0.14356464534279711	0.19360971450805664	None	None	None	1583.6254398822784	None	456	None	None	None	None	cutpl	4020	9217
10	2036.0065984725952	0.14364301847914115	0.20258617401123047	None	None	None	1660.929805278778	None	456	None	None	None	None	cutpl	4020	9708
11	2613.669543504715	0.145043515129622	0.25145673751831055	None	None	None	2150.9681832790375	None	456	None	None	None	None	cutpl	4020	11581
12	2759.7286405563354	0.1454136583784797	0.2724418640136719	None	None	None	2269.7915802001953	None	456	None	None	None	None	cutpl	4020	12165
13	3551.636728286743	0.147961499355288	0.3721766471862793	None	None	None	2948.664169073105	None	456	None	None	None	None	cutpl	4020	14428
14	3600.0543875694275	0.147961499355288	0.3721766471862793	None	None	None	2984.7110435962677	None	456	None	None	None	None	cutpl	4020	14686
