BendersMethod=level	maxNcuts=10	tol=1e-06	gapTol=0.5	pi0Coef=1.0	timeLimit=7200	poolplus=False	LevelParam=0.01	mip=True	newn=True
1	298.65678548812866	-1156.5181962116026	0.6063463687896729	0.39554619789123535	None	0.5759885311126709	271.2230775356293	2.44	200	1.5947747230529785	0.09071874618530273	10	5	level	3078	1060
2	413.57341504096985	-1062.6684005154304	0.7300162315368652	0.7669131755828857	None	1.2677056789398193	381.44592571258545	3.705	200	1.1927697658538818	0.08875775337219238	39	14	level	3413	1676
3	534.6906728744507	-989.3629881503829	0.9274888038635254	1.2366774082183838	None	2.143550157546997	494.45809841156006	4.625	200	2.357698917388916	0.05589485168457031	51	24	level	4037	2485
4	676.6163084506989	-956.3078506905389	1.1150379180908203	1.8179588317871094	None	3.0323517322540283	627.9737696647644	4.195	200	1.7902493476867676	0.11968421936035156	75	31	level	4544	3324
5	804.2521398067474	-934.5601734656912	1.1828508377075195	2.5071213245391846	None	4.0140540599823	748.9869148731232	3.615	200	2.6379401683807373	0.03988838195800781	100	44	level	4776	4185
6	975.0456538200378	-905.0157083649153	1.2995431423187256	3.6646149158477783	None	5.033854007720947	911.4871020317078	6.0	200	2.9680676460266113	0.0847635269165039	116	51	level	5000	5117
7	1219.439380645752	-893.9568947824533	1.3604164123535156	5.195795297622681	None	6.13999605178833	1146.4124307632446	6.545	200	5.218090772628784	0.08972287178039551	138	71	level	5191	6555
8	1507.902679681778	-880.9780488268796	1.4522075653076172	6.561980485916138	None	7.432262420654297	1424.9313342571259	6.73	200	4.9597814083099365	0.04487752914428711	184	85	level	5385	7357
9	1792.5062952041626	-873.8161316276734	1.5170364379882812	7.9381067752838135	None	8.974606990814209	1698.4889869689941	7.235	200	5.199112176895142	0.03893446922302246	220	101	level	5558	8306
10	2174.666265964508	-869.7332423430423	1.5748639106750488	9.357030391693115	None	10.63408088684082	2068.665104866028	7.12	200	5.991991281509399	0.04786849021911621	253	108	level	5742	9247
11	2509.330967903137	-866.4028308135601	1.6326713562011719	10.824742317199707	None	12.549824953079224	2390.4124348163605	7.56	200	4.342361211776733	0.042882442474365234	276	115	level	5919	10046
12	2794.9806566238403	-864.3085750577958	1.6965396404266357	12.207847356796265	None	14.768047094345093	2662.838978767395	7.17	200	5.6558518409729	0.04383993148803711	285	116	level	6068	10666
13	3065.2574713230133	-861.8971963741847	1.7653906345367432	13.513302564620972	None	17.138993501663208	2919.4311702251434	7.385	200	4.266594648361206	0.04587817192077637	298	120	level	6215	11187
14	3318.3072414398193	-860.7728289583085	1.8252322673797607	14.831843376159668	None	19.98654556274414	3157.86953997612	7.67	200	4.825141668319702	0.04787182807922363	311	126	level	6339	11651
15	3499.7453711032867	-859.8435236926522	1.8840744495391846	16.215102910995483	None	23.69738531112671	3323.5541954040527	7.895	200	5.216093301773071	0.048833370208740234	317	134	level	6447	12006
16	3673.624674797058	-859.0894862397677	1.9459455013275146	17.447174072265625	None	28.517427444458008	3480.53968334198	8.105	200	4.076045751571655	0.04587745666503906	324	138	level	6542	12346
ObjVal: -853.9849763078189	ObjBnd: -853.9849763078189	BnCTime: 41.83914589881897	No. of MIP solns: 16	BendersTime: 19.35503077507019	RecourseTime: 12.387024402618408	TotalTime: 3715.4827675819397
